ip.len,udp.length,dns.flags.recdesired,dns.flags.recavail,dns.count.answers,dns.count.auth_rr,dns.qry.name,dns.qry.type,target
344.0,324.0,0.0,0.0,0.0,4.0,73971400.0,12.0,0.0
696.0,676.0,1.0,0.0,0.0,13.0,88760520.0,1.0,1.0
73.0,53.0,1.0,1.0,0.0,0.0,88760520.0,1.0,1.0
73.0,53.0,1.0,1.0,0.0,0.0,88760520.0,1.0,1.0
344.0,324.0,0.0,0.0,0.0,4.0,73971400.0,12.0,0.0
344.0,324.0,0.0,0.0,0.0,4.0,73971400.0,12.0,0.0
344.0,324.0,0.0,0.0,0.0,4.0,73971400.0,12.0,0.0
344.0,324.0,0.0,0.0,0.0,4.0,73971400.0,12.0,0.0
89.0,69.0,1.0,1.0,1.0,0.0,88760520.0,1.0,1.0
696.0,676.0,1.0,0.0,0.0,13.0,88760520.0,1.0,1.0
89.0,69.0,1.0,1.0,1.0,0.0,88760520.0,1.0,1.0
696.0,676.0,1.0,0.0,0.0,13.0,88760520.0,1.0,1.0
89.0,69.0,1.0,1.0,1.0,0.0,88760520.0,1.0,1.0
73.0,53.0,1.0,1.0,0.0,0.0,88760520.0,1.0,1.0
344.0,324.0,0.0,0.0,0.0,4.0,73971400.0,12.0,0.0
89.0,69.0,1.0,1.0,1.0,0.0,88760520.0,1.0,1.0
89.0,69.0,1.0,1.0,1.0,0.0,88760520.0,1.0,1.0
89.0,69.0,1.0,1.0,1.0,0.0,88760520.0,1.0,1.0
89.0,69.0,1.0,1.0,1.0,0.0,88760520.0,1.0,1.0
89.0,69.0,1.0,1.0,1.0,0.0,88760520.0,1.0,1.0
89.0,69.0,1.0,1.0,1.0,0.0,88760520.0,1.0,1.0
89.0,69.0,1.0,1.0,1.0,0.0,88760520.0,1.0,1.0
73.0,53.0,1.0,0.0,0.0,0.0,88760520.0,1.0,1.0
344.0,324.0,0.0,0.0,0.0,4.0,73971400.0,12.0,0.0
492.0,472.0,0.0,0.0,0.0,8.0,73971400.0,12.0,0.0
89.0,69.0,1.0,1.0,1.0,0.0,88760520.0,1.0,1.0
89.0,69.0,1.0,1.0,1.0,0.0,88760520.0,1.0,1.0
89.0,69.0,1.0,1.0,1.0,0.0,88760520.0,1.0,1.0
73.0,53.0,1.0,1.0,0.0,0.0,88760520.0,1.0,1.0
82.0,62.0,0.0,0.0,0.0,0.0,73971400.0,12.0,0.0
696.0,676.0,1.0,0.0,0.0,13.0,88760520.0,1.0,1.0
344.0,324.0,0.0,0.0,0.0,4.0,73971400.0,12.0,0.0
344.0,324.0,0.0,0.0,0.0,4.0,73971400.0,12.0,0.0
73.0,53.0,1.0,1.0,0.0,0.0,88760520.0,1.0,1.0
344.0,324.0,0.0,0.0,0.0,4.0,73971400.0,12.0,0.0
89.0,69.0,1.0,1.0,1.0,0.0,88760520.0,1.0,1.0
696.0,676.0,1.0,0.0,0.0,13.0,88760520.0,1.0,1.0
82.0,62.0,0.0,0.0,0.0,0.0,73971400.0,12.0,0.0
89.0,69.0,1.0,1.0,1.0,0.0,88760520.0,1.0,1.0
89.0,69.0,1.0,1.0,1.0,0.0,88760520.0,1.0,1.0
89.0,69.0,1.0,1.0,1.0,0.0,88760520.0,1.0,1.0
344.0,324.0,0.0,0.0,0.0,4.0,73971400.0,12.0,0.0
82.0,62.0,0.0,0.0,0.0,0.0,73971400.0,12.0,0.0
89.0,69.0,1.0,1.0,1.0,0.0,88760520.0,1.0,1.0
696.0,676.0,1.0,0.0,0.0,13.0,88760520.0,1.0,1.0
344.0,324.0,0.0,0.0,0.0,4.0,73971400.0,12.0,0.0
89.0,69.0,1.0,1.0,1.0,0.0,88760520.0,1.0,1.0
89.0,69.0,1.0,1.0,1.0,0.0,88760520.0,1.0,1.0
504.0,484.0,1.0,0.0,0.0,9.0,88760520.0,1.0,1.0
73.0,53.0,1.0,1.0,0.0,0.0,88760520.0,1.0,1.0
344.0,324.0,0.0,0.0,0.0,4.0,73971400.0,12.0,0.0
89.0,69.0,1.0,1.0,1.0,0.0,88760520.0,1.0,1.0
492.0,472.0,0.0,0.0,0.0,8.0,73971400.0,12.0,0.0
73.0,53.0,1.0,0.0,0.0,0.0,88760520.0,1.0,1.0
73.0,53.0,1.0,1.0,0.0,0.0,88760520.0,1.0,1.0
344.0,324.0,0.0,0.0,0.0,4.0,73971400.0,12.0,0.0
89.0,69.0,1.0,1.0,1.0,0.0,88760520.0,1.0,1.0
73.0,53.0,1.0,1.0,0.0,0.0,88760520.0,1.0,1.0
344.0,324.0,0.0,0.0,0.0,4.0,73971400.0,12.0,0.0
89.0,69.0,1.0,1.0,1.0,0.0,88760520.0,1.0,1.0
344.0,324.0,0.0,0.0,0.0,4.0,73971400.0,12.0,0.0
89.0,69.0,1.0,1.0,1.0,0.0,88760520.0,1.0,1.0
89.0,69.0,1.0,1.0,1.0,0.0,88760520.0,1.0,1.0
89.0,69.0,1.0,1.0,1.0,0.0,88760520.0,1.0,1.0
344.0,324.0,0.0,0.0,0.0,4.0,73971400.0,12.0,0.0
82.0,62.0,0.0,0.0,0.0,0.0,73971400.0,12.0,0.0
73.0,53.0,1.0,1.0,0.0,0.0,88760520.0,1.0,1.0
78.0,58.0,1.0,1.0,1.0,0.0,88760520.0,1.0,1.0
344.0,324.0,0.0,0.0,0.0,4.0,73971400.0,12.0,0.0
344.0,324.0,0.0,0.0,0.0,4.0,73971400.0,12.0,0.0
89.0,69.0,1.0,1.0,1.0,0.0,88760520.0,1.0,1.0
89.0,69.0,1.0,1.0,1.0,0.0,88760520.0,1.0,1.0
344.0,324.0,0.0,0.0,0.0,4.0,73971400.0,12.0,0.0
73.0,53.0,1.0,1.0,0.0,0.0,88760520.0,1.0,1.0
89.0,69.0,1.0,1.0,1.0,0.0,88760520.0,1.0,1.0
73.0,53.0,1.0,1.0,0.0,0.0,88760520.0,1.0,1.0
89.0,69.0,1.0,1.0,1.0,0.0,88760520.0,1.0,1.0
89.0,69.0,1.0,1.0,1.0,0.0,88760520.0,1.0,1.0
89.0,69.0,1.0,1.0,1.0,0.0,88760520.0,1.0,1.0
344.0,324.0,0.0,0.0,0.0,4.0,73971400.0,12.0,0.0
344.0,324.0,0.0,0.0,0.0,4.0,73971400.0,12.0,0.0
344.0,324.0,0.0,0.0,0.0,4.0,73971400.0,12.0,0.0
82.0,62.0,0.0,0.0,0.0,0.0,73971400.0,12.0,0.0
492.0,472.0,0.0,0.0,0.0,8.0,73971400.0,12.0,0.0
344.0,324.0,0.0,0.0,0.0,4.0,73971400.0,12.0,0.0
89.0,69.0,1.0,1.0,1.0,0.0,88760520.0,1.0,1.0
78.0,58.0,1.0,1.0,1.0,0.0,88760520.0,1.0,1.0
344.0,324.0,0.0,0.0,0.0,4.0,73971400.0,12.0,0.0
344.0,324.0,0.0,0.0,0.0,4.0,73971400.0,12.0,0.0
344.0,324.0,0.0,0.0,0.0,4.0,73971400.0,12.0,0.0
89.0,69.0,1.0,1.0,1.0,0.0,88760520.0,1.0,1.0
89.0,69.0,1.0,1.0,1.0,0.0,88760520.0,1.0,1.0
89.0,69.0,1.0,1.0,1.0,0.0,88760520.0,1.0,1.0
89.0,69.0,1.0,1.0,1.0,0.0,88760520.0,1.0,1.0
89.0,69.0,1.0,1.0,1.0,0.0,88760520.0,1.0,1.0
89.0,69.0,1.0,1.0,1.0,0.0,88760520.0,1.0,1.0
344.0,324.0,0.0,0.0,0.0,4.0,73971400.0,12.0,0.0
73.0,53.0,1.0,1.0,0.0,0.0,88760520.0,1.0,1.0
82.0,62.0,0.0,0.0,0.0,0.0,73971400.0,12.0,0.0
82.0,62.0,0.0,0.0,0.0,0.0,73971400.0,12.0,0.0
89.0,69.0,1.0,1.0,1.0,0.0,88760520.0,1.0,1.0
344.0,324.0,0.0,0.0,0.0,4.0,73971400.0,12.0,0.0
344.0,324.0,0.0,0.0,0.0,4.0,73971400.0,12.0,0.0
89.0,69.0,1.0,1.0,1.0,0.0,88760520.0,1.0,1.0
73.0,53.0,1.0,1.0,0.0,0.0,88760520.0,1.0,1.0
344.0,324.0,0.0,0.0,0.0,4.0,73971400.0,12.0,0.0
344.0,324.0,0.0,0.0,0.0,4.0,73971400.0,12.0,0.0
344.0,324.0,0.0,0.0,0.0,4.0,73971400.0,12.0,0.0
344.0,324.0,0.0,0.0,0.0,4.0,73971400.0,12.0,0.0
89.0,69.0,1.0,1.0,1.0,0.0,88760520.0,1.0,1.0
82.0,62.0,0.0,0.0,0.0,0.0,73971400.0,12.0,0.0
492.0,472.0,0.0,0.0,0.0,8.0,73971400.0,12.0,0.0
89.0,69.0,1.0,1.0,1.0,0.0,88760520.0,1.0,1.0
82.0,62.0,0.0,0.0,0.0,0.0,73971400.0,12.0,0.0
344.0,324.0,0.0,0.0,0.0,4.0,73971400.0,12.0,0.0
344.0,324.0,0.0,0.0,0.0,4.0,73971400.0,12.0,0.0
73.0,53.0,1.0,1.0,0.0,0.0,88760520.0,1.0,1.0
73.0,53.0,1.0,1.0,0.0,0.0,88760520.0,1.0,1.0
89.0,69.0,1.0,1.0,1.0,0.0,88760520.0,1.0,1.0
344.0,324.0,0.0,0.0,0.0,4.0,73971400.0,12.0,0.0
89.0,69.0,1.0,1.0,1.0,0.0,88760520.0,1.0,1.0
344.0,324.0,0.0,0.0,0.0,4.0,73971400.0,12.0,0.0
696.0,676.0,1.0,0.0,0.0,13.0,88760520.0,1.0,1.0
344.0,324.0,0.0,0.0,0.0,4.0,73971400.0,12.0,0.0
492.0,472.0,0.0,0.0,0.0,8.0,73971400.0,12.0,0.0
89.0,69.0,1.0,1.0,1.0,0.0,88760520.0,1.0,1.0
89.0,69.0,1.0,1.0,1.0,0.0,88760520.0,1.0,1.0
492.0,472.0,0.0,0.0,0.0,8.0,73971400.0,12.0,0.0
89.0,69.0,1.0,1.0,1.0,0.0,88760520.0,1.0,1.0
89.0,69.0,1.0,1.0,1.0,0.0,88760520.0,1.0,1.0
82.0,62.0,0.0,0.0,0.0,0.0,73971400.0,12.0,0.0
89.0,69.0,1.0,1.0,1.0,0.0,88760520.0,1.0,1.0
89.0,69.0,1.0,1.0,1.0,0.0,88760520.0,1.0,1.0
344.0,324.0,0.0,0.0,0.0,4.0,73971400.0,12.0,0.0
344.0,324.0,0.0,0.0,0.0,4.0,73971400.0,12.0,0.0
89.0,69.0,1.0,1.0,1.0,0.0,88760520.0,1.0,1.0
82.0,62.0,0.0,0.0,0.0,0.0,73971400.0,12.0,0.0
89.0,69.0,1.0,1.0,1.0,0.0,88760520.0,1.0,1.0
89.0,69.0,1.0,1.0,1.0,0.0,88760520.0,1.0,1.0
89.0,69.0,1.0,1.0,1.0,0.0,88760520.0,1.0,1.0
73.0,53.0,1.0,1.0,0.0,0.0,88760520.0,1.0,1.0
89.0,69.0,1.0,1.0,1.0,0.0,88760520.0,1.0,1.0
344.0,324.0,0.0,0.0,0.0,4.0,73971400.0,12.0,0.0
344.0,324.0,0.0,0.0,0.0,4.0,73971400.0,12.0,0.0
73.0,53.0,1.0,0.0,0.0,0.0,88760520.0,1.0,1.0
78.0,58.0,1.0,1.0,1.0,0.0,88760520.0,1.0,1.0
89.0,69.0,1.0,1.0,1.0,0.0,88760520.0,1.0,1.0
89.0,69.0,1.0,1.0,1.0,0.0,88760520.0,1.0,1.0
344.0,324.0,0.0,0.0,0.0,4.0,73971400.0,12.0,0.0
82.0,62.0,0.0,0.0,0.0,0.0,73971400.0,12.0,0.0
344.0,324.0,0.0,0.0,0.0,4.0,73971400.0,12.0,0.0
344.0,324.0,0.0,0.0,0.0,4.0,73971400.0,12.0,0.0
89.0,69.0,1.0,1.0,1.0,0.0,88760520.0,1.0,1.0
492.0,472.0,0.0,0.0,0.0,8.0,73971400.0,12.0,0.0
344.0,324.0,0.0,0.0,0.0,4.0,73971400.0,12.0,0.0
73.0,53.0,1.0,1.0,0.0,0.0,88760520.0,1.0,1.0
73.0,53.0,1.0,1.0,0.0,0.0,88760520.0,1.0,1.0
89.0,69.0,1.0,1.0,1.0,0.0,88760520.0,1.0,1.0
89.0,69.0,1.0,1.0,1.0,0.0,88760520.0,1.0,1.0
344.0,324.0,0.0,0.0,0.0,4.0,73971400.0,12.0,0.0
344.0,324.0,0.0,0.0,0.0,4.0,73971400.0,12.0,0.0
89.0,69.0,1.0,1.0,1.0,0.0,88760520.0,1.0,1.0
89.0,69.0,1.0,1.0,1.0,0.0,88760520.0,1.0,1.0
71.0,51.0,0.0,0.0,0.0,0.0,73971400.0,12.0,0.0
89.0,69.0,1.0,1.0,1.0,0.0,88760520.0,1.0,1.0
73.0,53.0,1.0,1.0,0.0,0.0,88760520.0,1.0,1.0
89.0,69.0,1.0,1.0,1.0,0.0,88760520.0,1.0,1.0
344.0,324.0,0.0,0.0,0.0,4.0,73971400.0,12.0,0.0
344.0,324.0,0.0,0.0,0.0,4.0,73971400.0,12.0,0.0
344.0,324.0,0.0,0.0,0.0,4.0,73971400.0,12.0,0.0
82.0,62.0,0.0,0.0,0.0,0.0,73971400.0,12.0,0.0
344.0,324.0,0.0,0.0,0.0,4.0,73971400.0,12.0,0.0
344.0,324.0,0.0,0.0,0.0,4.0,73971400.0,12.0,0.0
492.0,472.0,0.0,0.0,0.0,8.0,73971400.0,12.0,0.0
492.0,472.0,0.0,0.0,0.0,8.0,73971400.0,12.0,0.0
89.0,69.0,1.0,1.0,1.0,0.0,88760520.0,1.0,1.0
492.0,472.0,0.0,0.0,0.0,8.0,73971400.0,12.0,0.0
344.0,324.0,0.0,0.0,0.0,4.0,73971400.0,12.0,0.0
492.0,472.0,0.0,0.0,0.0,8.0,73971400.0,12.0,0.0
492.0,472.0,0.0,0.0,0.0,8.0,73971400.0,12.0,0.0
492.0,472.0,0.0,0.0,0.0,8.0,73971400.0,12.0,0.0
73.0,53.0,1.0,1.0,0.0,0.0,88760520.0,1.0,1.0
344.0,324.0,0.0,0.0,0.0,4.0,73971400.0,12.0,0.0
344.0,324.0,0.0,0.0,0.0,4.0,73971400.0,12.0,0.0
344.0,324.0,0.0,0.0,0.0,4.0,73971400.0,12.0,0.0
82.0,62.0,0.0,0.0,0.0,0.0,73971400.0,12.0,0.0
82.0,62.0,0.0,0.0,0.0,0.0,73971400.0,12.0,0.0
89.0,69.0,1.0,1.0,1.0,0.0,88760520.0,1.0,1.0
344.0,324.0,0.0,0.0,0.0,4.0,73971400.0,12.0,0.0
78.0,58.0,1.0,1.0,1.0,0.0,88760520.0,1.0,1.0
73.0,53.0,1.0,1.0,0.0,0.0,88760520.0,1.0,1.0
89.0,69.0,1.0,1.0,1.0,0.0,88760520.0,1.0,1.0
82.0,62.0,0.0,0.0,0.0,0.0,73971400.0,12.0,0.0
492.0,472.0,0.0,0.0,0.0,8.0,73971400.0,12.0,0.0
82.0,62.0,0.0,0.0,0.0,0.0,73971400.0,12.0,0.0
344.0,324.0,0.0,0.0,0.0,4.0,73971400.0,12.0,0.0
89.0,69.0,1.0,1.0,1.0,0.0,88760520.0,1.0,1.0
492.0,472.0,0.0,0.0,0.0,8.0,73971400.0,12.0,0.0
73.0,53.0,1.0,1.0,0.0,0.0,88760520.0,1.0,1.0
344.0,324.0,0.0,0.0,0.0,4.0,73971400.0,12.0,0.0
89.0,69.0,1.0,1.0,1.0,0.0,88760520.0,1.0,1.0
492.0,472.0,0.0,0.0,0.0,8.0,73971400.0,12.0,0.0
89.0,69.0,1.0,1.0,1.0,0.0,88760520.0,1.0,1.0
73.0,53.0,1.0,1.0,0.0,0.0,88760520.0,1.0,1.0
78.0,58.0,1.0,1.0,1.0,0.0,88760520.0,1.0,1.0
89.0,69.0,1.0,1.0,1.0,0.0,88760520.0,1.0,1.0
78.0,58.0,1.0,1.0,1.0,0.0,88760520.0,1.0,1.0
344.0,324.0,0.0,0.0,0.0,4.0,73971400.0,12.0,0.0
344.0,324.0,0.0,0.0,0.0,4.0,73971400.0,12.0,0.0
696.0,676.0,1.0,0.0,0.0,13.0,88760520.0,1.0,1.0
89.0,69.0,1.0,1.0,1.0,0.0,88760520.0,1.0,1.0
73.0,53.0,1.0,1.0,0.0,0.0,88760520.0,1.0,1.0
344.0,324.0,0.0,0.0,0.0,4.0,73971400.0,12.0,0.0
344.0,324.0,0.0,0.0,0.0,4.0,73971400.0,12.0,0.0
73.0,53.0,1.0,1.0,0.0,0.0,88760520.0,1.0,1.0
344.0,324.0,0.0,0.0,0.0,4.0,73971400.0,12.0,0.0
71.0,51.0,0.0,0.0,0.0,0.0,73971400.0,12.0,0.0
89.0,69.0,1.0,1.0,1.0,0.0,88760520.0,1.0,1.0
492.0,472.0,0.0,0.0,0.0,8.0,73971400.0,12.0,0.0
344.0,324.0,0.0,0.0,0.0,4.0,73971400.0,12.0,0.0
344.0,324.0,0.0,0.0,0.0,4.0,73971400.0,12.0,0.0
344.0,324.0,0.0,0.0,0.0,4.0,73971400.0,12.0,0.0
89.0,69.0,1.0,1.0,1.0,0.0,88760520.0,1.0,1.0
504.0,484.0,1.0,0.0,0.0,13.0,88760520.0,1.0,1.0
89.0,69.0,1.0,1.0,1.0,0.0,88760520.0,1.0,1.0
89.0,69.0,1.0,1.0,1.0,0.0,88760520.0,1.0,1.0
344.0,324.0,0.0,0.0,0.0,4.0,73971400.0,12.0,0.0
73.0,53.0,1.0,1.0,0.0,0.0,88760520.0,1.0,1.0
344.0,324.0,0.0,0.0,0.0,4.0,73971400.0,12.0,0.0
344.0,324.0,0.0,0.0,0.0,4.0,73971400.0,12.0,0.0
344.0,324.0,0.0,0.0,0.0,4.0,73971400.0,12.0,0.0
73.0,53.0,1.0,1.0,0.0,0.0,88760520.0,1.0,1.0
89.0,69.0,1.0,1.0,1.0,0.0,88760520.0,1.0,1.0
344.0,324.0,0.0,0.0,0.0,4.0,73971400.0,12.0,0.0
344.0,324.0,0.0,0.0,0.0,4.0,73971400.0,12.0,0.0
344.0,324.0,0.0,0.0,0.0,4.0,73971400.0,12.0,0.0
89.0,69.0,1.0,1.0,1.0,0.0,88760520.0,1.0,1.0
344.0,324.0,0.0,0.0,0.0,4.0,73971400.0,12.0,0.0
492.0,472.0,0.0,0.0,0.0,8.0,73971400.0,12.0,0.0
73.0,53.0,1.0,1.0,0.0,0.0,88760520.0,1.0,1.0
492.0,472.0,0.0,0.0,0.0,8.0,73971400.0,12.0,0.0
344.0,324.0,0.0,0.0,0.0,4.0,73971400.0,12.0,0.0
344.0,324.0,0.0,0.0,0.0,4.0,73971400.0,12.0,0.0
344.0,324.0,0.0,0.0,0.0,4.0,73971400.0,12.0,0.0
89.0,69.0,1.0,1.0,1.0,0.0,88760520.0,1.0,1.0
344.0,324.0,0.0,0.0,0.0,4.0,73971400.0,12.0,0.0
344.0,324.0,0.0,0.0,0.0,4.0,73971400.0,12.0,0.0
89.0,69.0,1.0,1.0,1.0,0.0,88760520.0,1.0,1.0
89.0,69.0,1.0,1.0,1.0,0.0,88760520.0,1.0,1.0
344.0,324.0,0.0,0.0,0.0,4.0,73971400.0,12.0,0.0
89.0,69.0,1.0,1.0,1.0,0.0,88760520.0,1.0,1.0
78.0,58.0,1.0,1.0,1.0,0.0,88760520.0,1.0,1.0
78.0,58.0,1.0,1.0,1.0,0.0,88760520.0,1.0,1.0
344.0,324.0,0.0,0.0,0.0,4.0,73971400.0,12.0,0.0
344.0,324.0,0.0,0.0,0.0,4.0,73971400.0,12.0,0.0
344.0,324.0,0.0,0.0,0.0,4.0,73971400.0,12.0,0.0
89.0,69.0,1.0,1.0,1.0,0.0,88760520.0,1.0,1.0
82.0,62.0,0.0,0.0,0.0,0.0,73971400.0,12.0,0.0
89.0,69.0,1.0,1.0,1.0,0.0,88760520.0,1.0,1.0
344.0,324.0,0.0,0.0,0.0,4.0,73971400.0,12.0,0.0
696.0,676.0,1.0,0.0,0.0,13.0,88760520.0,1.0,1.0
89.0,69.0,1.0,1.0,1.0,0.0,88760520.0,1.0,1.0
344.0,324.0,0.0,0.0,0.0,4.0,73971400.0,12.0,0.0
89.0,69.0,1.0,1.0,1.0,0.0,88760520.0,1.0,1.0
344.0,324.0,0.0,0.0,0.0,4.0,73971400.0,12.0,0.0
73.0,53.0,1.0,1.0,0.0,0.0,88760520.0,1.0,1.0
344.0,324.0,0.0,0.0,0.0,4.0,73971400.0,12.0,0.0
78.0,58.0,1.0,1.0,1.0,0.0,88760520.0,1.0,1.0
344.0,324.0,0.0,0.0,0.0,4.0,73971400.0,12.0,0.0
89.0,69.0,1.0,1.0,1.0,0.0,88760520.0,1.0,1.0
344.0,324.0,0.0,0.0,0.0,4.0,73971400.0,12.0,0.0
89.0,69.0,1.0,1.0,1.0,0.0,88760520.0,1.0,1.0
344.0,324.0,0.0,0.0,0.0,4.0,73971400.0,12.0,0.0
89.0,69.0,1.0,1.0,1.0,0.0,88760520.0,1.0,1.0
492.0,472.0,0.0,0.0,0.0,8.0,73971400.0,12.0,0.0
344.0,324.0,0.0,0.0,0.0,4.0,73971400.0,12.0,0.0
492.0,472.0,0.0,0.0,0.0,8.0,73971400.0,12.0,0.0
344.0,324.0,0.0,0.0,0.0,4.0,73971400.0,12.0,0.0
344.0,324.0,0.0,0.0,0.0,4.0,73971400.0,12.0,0.0
344.0,324.0,0.0,0.0,0.0,4.0,73971400.0,12.0,0.0
344.0,324.0,0.0,0.0,0.0,4.0,73971400.0,12.0,0.0
89.0,69.0,1.0,1.0,1.0,0.0,88760520.0,1.0,1.0
73.0,53.0,1.0,1.0,0.0,0.0,88760520.0,1.0,1.0
344.0,324.0,0.0,0.0,0.0,4.0,73971400.0,12.0,0.0
344.0,324.0,0.0,0.0,0.0,4.0,73971400.0,12.0,0.0
344.0,324.0,0.0,0.0,0.0,4.0,73971400.0,12.0,0.0
89.0,69.0,1.0,1.0,1.0,0.0,88760520.0,1.0,1.0
344.0,324.0,0.0,0.0,0.0,4.0,73971400.0,12.0,0.0
344.0,324.0,0.0,0.0,0.0,4.0,73971400.0,12.0,0.0
73.0,53.0,1.0,1.0,0.0,0.0,88760520.0,1.0,1.0
89.0,69.0,1.0,1.0,1.0,0.0,88760520.0,1.0,1.0
344.0,324.0,0.0,0.0,0.0,4.0,73971400.0,12.0,0.0
344.0,324.0,0.0,0.0,0.0,4.0,73971400.0,12.0,0.0
344.0,324.0,0.0,0.0,0.0,4.0,73971400.0,12.0,0.0
89.0,69.0,1.0,1.0,1.0,0.0,88760520.0,1.0,1.0
89.0,69.0,1.0,1.0,1.0,0.0,88760520.0,1.0,1.0
89.0,69.0,1.0,1.0,1.0,0.0,88760520.0,1.0,1.0
78.0,58.0,1.0,1.0,1.0,0.0,88760520.0,1.0,1.0
89.0,69.0,1.0,1.0,1.0,0.0,88760520.0,1.0,1.0
89.0,69.0,1.0,1.0,1.0,0.0,88760520.0,1.0,1.0
89.0,69.0,1.0,1.0,1.0,0.0,88760520.0,1.0,1.0
89.0,69.0,1.0,1.0,1.0,0.0,88760520.0,1.0,1.0
89.0,69.0,1.0,1.0,1.0,0.0,88760520.0,1.0,1.0
344.0,324.0,0.0,0.0,0.0,4.0,73971400.0,12.0,0.0
344.0,324.0,0.0,0.0,0.0,4.0,73971400.0,12.0,0.0
89.0,69.0,1.0,1.0,1.0,0.0,88760520.0,1.0,1.0
73.0,53.0,1.0,1.0,0.0,0.0,88760520.0,1.0,1.0
78.0,58.0,1.0,1.0,1.0,0.0,88760520.0,1.0,1.0
82.0,62.0,0.0,0.0,0.0,0.0,73971400.0,12.0,0.0
696.0,676.0,1.0,0.0,0.0,13.0,88760520.0,1.0,1.0
344.0,324.0,0.0,0.0,0.0,4.0,73971400.0,12.0,0.0
89.0,69.0,1.0,1.0,1.0,0.0,88760520.0,1.0,1.0
492.0,472.0,0.0,0.0,0.0,8.0,73971400.0,12.0,0.0
492.0,472.0,0.0,0.0,0.0,8.0,73971400.0,12.0,0.0
89.0,69.0,1.0,1.0,1.0,0.0,88760520.0,1.0,1.0
492.0,472.0,0.0,0.0,0.0,8.0,73971400.0,12.0,0.0
344.0,324.0,0.0,0.0,0.0,4.0,73971400.0,12.0,0.0
344.0,324.0,0.0,0.0,0.0,4.0,73971400.0,12.0,0.0
344.0,324.0,0.0,0.0,0.0,4.0,73971400.0,12.0,0.0
78.0,58.0,1.0,1.0,1.0,0.0,88760520.0,1.0,1.0
89.0,69.0,1.0,1.0,1.0,0.0,88760520.0,1.0,1.0
73.0,53.0,1.0,1.0,0.0,0.0,88760520.0,1.0,1.0
344.0,324.0,0.0,0.0,0.0,4.0,73971400.0,12.0,0.0
82.0,62.0,0.0,0.0,0.0,0.0,73971400.0,12.0,0.0
73.0,53.0,1.0,1.0,0.0,0.0,88760520.0,1.0,1.0
73.0,53.0,1.0,1.0,0.0,0.0,88760520.0,1.0,1.0
82.0,62.0,0.0,0.0,0.0,0.0,73971400.0,12.0,0.0
89.0,69.0,1.0,1.0,1.0,0.0,88760520.0,1.0,1.0
89.0,69.0,1.0,1.0,1.0,0.0,88760520.0,1.0,1.0
82.0,62.0,0.0,0.0,0.0,0.0,73971400.0,12.0,0.0
73.0,53.0,1.0,1.0,0.0,0.0,88760520.0,1.0,1.0
344.0,324.0,0.0,0.0,0.0,4.0,73971400.0,12.0,0.0
113.0,93.0,0.0,0.0,0.0,2.0,73971400.0,12.0,0.0
492.0,472.0,0.0,0.0,0.0,8.0,73971400.0,12.0,0.0
89.0,69.0,1.0,1.0,1.0,0.0,88760520.0,1.0,1.0
344.0,324.0,0.0,0.0,0.0,4.0,73971400.0,12.0,0.0
89.0,69.0,1.0,1.0,1.0,0.0,88760520.0,1.0,1.0
89.0,69.0,1.0,1.0,1.0,0.0,88760520.0,1.0,1.0
344.0,324.0,0.0,0.0,0.0,4.0,73971400.0,12.0,0.0
82.0,62.0,0.0,0.0,0.0,0.0,73971400.0,12.0,0.0
89.0,69.0,1.0,1.0,1.0,0.0,88760520.0,1.0,1.0
344.0,324.0,0.0,0.0,0.0,4.0,73971400.0,12.0,0.0
89.0,69.0,1.0,1.0,1.0,0.0,88760520.0,1.0,1.0
82.0,62.0,0.0,0.0,0.0,0.0,73971400.0,12.0,0.0
82.0,62.0,0.0,0.0,0.0,0.0,73971400.0,12.0,0.0
344.0,324.0,0.0,0.0,0.0,4.0,73971400.0,12.0,0.0
344.0,324.0,0.0,0.0,0.0,4.0,73971400.0,12.0,0.0
344.0,324.0,0.0,0.0,0.0,4.0,73971400.0,12.0,0.0
89.0,69.0,1.0,1.0,1.0,0.0,88760520.0,1.0,1.0
344.0,324.0,0.0,0.0,0.0,4.0,73971400.0,12.0,0.0
82.0,62.0,0.0,0.0,0.0,0.0,73971400.0,12.0,0.0
73.0,53.0,1.0,1.0,0.0,0.0,88760520.0,1.0,1.0
492.0,472.0,0.0,0.0,0.0,8.0,73971400.0,12.0,0.0
73.0,53.0,1.0,1.0,0.0,0.0,88760520.0,1.0,1.0
89.0,69.0,1.0,1.0,1.0,0.0,88760520.0,1.0,1.0
344.0,324.0,0.0,0.0,0.0,4.0,73971400.0,12.0,0.0
73.0,53.0,1.0,0.0,0.0,0.0,88760520.0,1.0,1.0
89.0,69.0,1.0,1.0,1.0,0.0,88760520.0,1.0,1.0
344.0,324.0,0.0,0.0,0.0,4.0,73971400.0,12.0,0.0
89.0,69.0,1.0,1.0,1.0,0.0,88760520.0,1.0,1.0
82.0,62.0,0.0,0.0,0.0,0.0,73971400.0,12.0,0.0
492.0,472.0,0.0,0.0,0.0,8.0,73971400.0,12.0,0.0
344.0,324.0,0.0,0.0,0.0,4.0,73971400.0,12.0,0.0
344.0,324.0,0.0,0.0,0.0,4.0,73971400.0,12.0,0.0
73.0,53.0,1.0,1.0,0.0,0.0,88760520.0,1.0,1.0
82.0,62.0,0.0,0.0,0.0,0.0,73971400.0,12.0,0.0
